iter,min,max
0,-4.0,0.0
0,-4.0,0.0
0,-4.0,0.0
0,-4.0,1.0
0,-4.0,0.0
0,-4.0,1.0
0,0.0,1.0
0,0.0,1.0
0,-4.0,0.0
0,-4.0,1.0
0,-1.0,0.0
0,-1.0,1.0
0,-5.0,1.0
1,-5.0,1.0
1,-5.0,1.0
1,-5.0,1.0
1,-5.0,2.0
1,-5.0,2.0
2,-5.0,2.0
2,-6.0,2.0
2,-6.0,2.0
2,-6.0,2.0
2,-6.0,2.0
2,-6.0,2.0
2,-6.0,3.0
2,-6.0,3.0
3,-6.0,3.0
3,-6.0,3.0
3,-6.0,4.0
3,-6.0,4.0
4,-6.0,4.0
4,-6.0,4.0
4,-7.0,4.0
5,-7.0,4.0
5,-7.0,4.0
5,-7.0,4.0
5,-7.0,4.0
5,-7.0,4.0
6,-7.0,4.0
6,-7.0,4.0
6,-7.0,4.0
6,-7.0,4.0
6,-8.0,4.0
6,-8.0,4.0
6,-8.0,4.0
6,-8.0,4.0
7,-9.0,4.0
7,-9.0,4.0
7,-9.0,4.0
7,-9.0,4.0
8,-9.0,4.0
8,-9.0,4.0
8,-9.0,4.0
8,-10.0,4.0
8,-10.0,4.0
0,-1.0,0.0
9,-1.0,0.0
9,-1.0,0.0
9,-1.0,0.0
9,-1.0,0.0
9,-1.0,1.0
9,-1.0,1.0
10,-1.0,1.0
10,-1.0,1.0
10,-1.0,1.0
10,-2.0,1.0
10,-2.0,2.0
10,-2.0,2.0
11,-2.0,2.0
11,-2.0,2.0
11,-2.0,2.0
11,-2.0,2.0
11,-2.0,2.0
11,-3.0,2.0
11,-3.0,3.0
11,-7.0,3.0
12,-7.0,3.0
12,-7.0,3.0
12,-7.0,3.0
12,-7.0,3.0
12,-7.0,4.0
12,-7.0,4.0
13,-8.0,4.0
13,-8.0,4.0
13,-8.0,4.0
13,-8.0,4.0
13,-8.0,4.0
13,-8.0,4.0
13,-8.0,4.0
13,-8.0,4.0
14,-8.0,4.0
0,-4.0,0.0
